id,name,league_id,created_at,updated_at
2,Arsenal,5,2011-09-08 10:46:33.986652,2011-09-22 07:30:17.998191
3,Aston Villa,5,2011-09-10 07:07:22.241013,2011-09-29 11:09:54.880437
4,Blackburn Rovers,6,2011-09-10 07:09:29.480133,2012-07-02 13:57:44.810152
5,Bolton Wanderers,6,2011-09-11 09:28:54.930351,2012-07-02 13:57:51.352452
6,Chelsea,5,2011-09-11 09:29:09.915299,2011-09-29 07:14:59.532463
7,Everton,5,2011-09-11 09:29:18.667943,2011-10-12 17:11:18.798575
8,Fulham,5,2011-09-11 09:29:26.445179,2011-09-22 07:13:35.058554
9,Liverpool,5,2011-09-11 09:29:38.677559,2011-09-22 07:06:30.090448
10,Manchester City,5,2011-09-11 09:29:52.491104,2011-09-22 07:18:19.710249
11,Manchester United,5,2011-09-11 09:30:04.795284,2011-09-22 07:28:55.220103
12,Newcastle United,5,2011-09-11 09:30:24.444187,2011-09-19 11:34:21.805913
13,Norwich City,5,2011-09-11 09:30:35.095887,2011-09-22 07:28:24.05566
14,Queens Park Rangers,5,2011-09-11 09:30:52.514012,2011-09-22 07:22:10.781738
15,Stoke City,5,2011-09-11 09:32:13.760641,2011-10-12 16:51:32.479288
16,Sunderland,5,2011-09-11 09:32:28.847687,2011-09-22 07:18:55.230017
17,Swansea City,5,2011-09-11 09:32:42.208649,2011-09-27 14:02:17.828477
18,Tottenham Hotspur,5,2011-09-11 09:33:04.523182,2011-09-21 11:45:59.101084
19,West Bromwich Albion,5,2011-09-11 09:33:23.531986,2011-10-06 18:34:19.471966
20,Wigan Atletic,5,2011-09-11 09:33:38.54664,2011-09-11 09:33:38.54664
21,Wolverhampton Wanderers,6,2011-09-11 09:33:53.718658,2012-07-02 13:58:11.584493
22,Barnsley,6,2011-09-11 09:34:12.326063,2011-09-11 09:34:12.326063
23,Bournemouth,7,2011-09-11 09:34:27.639301,2011-10-14 16:21:06.734901
24,Accrington Stanley,8,2011-09-11 09:34:50.702659,2011-10-04 08:49:15.970628
25,Charlton Athletic,6,2011-09-19 16:11:50.215927,2012-07-05 07:20:41.404311
28,Birmingham City,6,2011-09-21 11:58:39.837048,2011-10-02 15:44:53.569265
29,Blackpool,6,2011-09-21 16:07:10.852234,2011-09-21 16:07:10.852234
30,Brighton & Hove Albion,6,2011-09-21 16:07:24.649337,2011-10-06 19:20:00.069118
31,Burnley,6,2011-09-21 16:07:38.659681,2011-10-02 10:04:46.288512
32,Bristol City,6,2011-09-21 16:07:48.030716,2011-09-21 16:07:48.030716
33,Cardiff City,6,2011-09-21 16:08:02.661926,2011-09-28 18:52:00.16758
34,Coventry City,7,2011-09-21 16:08:11.966174,2012-07-05 07:18:18.852265
35,Crystal Palace,6,2011-09-21 16:08:29.147581,2011-09-29 07:21:41.902503
